FireShape_FireNumber,FireShape_Year,FireShape_Spread1,FireShape_Spread2,FireShape_Spread3,FireShape_Spread4,SIZE_CLASS,FIRE_ORIGIN,GENERAL_CAUSE,FIRE_TYPE,FIRE_POSITION_ON_SLOPE,WEATHER_CONDITIONS_OVER_FIRE,TEMPERATURE,RELATIVE_HUMIDITY,WIND_DIRECTION,WIND_SPEED,INITIAL_ACTION_BY
HWF086,2018,1262.571501,669.7583753,754.0441168,671.2919321,E,Provincial Land,Lightning,Crown,Flat,Cloudy,28,37,NE,8,HAC
HWF086,2022,316.3576114,136.6141748,234.421446,127.7822095,C,Provincial Land,Lightning,Crown,Flat,Clear,25,17,W,9,HAC
HWF086,2025,81.46747995,33.01912629,54.47762269,30.10167474,B,Provincial Land,Lightning,Surface,Flat,Cloudy,20,67,NE,5,HAC
HWF087,2007,729.6834818,344.3785578,663.8210402,355.5814504,D,Provincial Park,Lightning,Surface,Flat,Cloudy,28.5,25,N,8,HAC1H
HWF087,2010,103.512753,51.15941906,67.82022584,91.02914927,B,Indian Reservation,Incendiary,Ground,Flat,Cloudy,24,35,SW,5,HAC1F
HWF087,2012,1427.937384,413.8201799,1193.784256,662.7433602,D,Provincial Land,Lightning,Surface,Flat,Cloudy,18,35,S,15,FPD Staff
HWF087,2015,656.8382572,327.2289384,445.3789191,412.0486873,D,Indian Reservation,Incendiary,Surface,Flat,Rainshowers,20,30,N,15,HAC
HWF087,2021,654.1625504,151.1212022,263.3712148,306.3930002,C,Provincial Land,Resident,Surface,Flat,Cloudy,8,47,SE,13,FTAC
HWF087,2022,168.0368079,40.89546234,147.8556347,34.72897278,B,Provincial Land,Lightning,Ground,Flat,Clear,33,32,S,5,HAC
HWF087,2023,10675.05869,5555.315077,6242.998981,7415.427622,E,Provincial Land,Lightning,Crown,Flat,Clear,29.4,24,NE,25,HAC
HWF087,2024,1393.298702,348.844342,1056.486,163.3008599,B,Provincial Land,Lightning,Surface,Flat,Cloudy,25,30,N,20,HAC
HWF088,2012,462.5674577,105.7636292,193.4907671,169.2912828,C,Private Land,Agriculture Industry,Surface,Flat,Clear,19,60,SW,5,Land Owner
HWF088,2022,442.5783923,176.93581,429.4197847,180.9590188,C,Provincial Land,Lightning,Surface,Flat,Clear,23,47,CLM,0,Public
HWF088,2023,162.971592,67.01090086,136.9714144,73.10509093,B,Provincial Land,Lightning,Surface,Flat,Cloudy,20,43,W,8,HAC
HWF088,2024,257.7774757,221.0248808,108.5187721,167.5169354,C,Provincial Land,Lightning,Surface,Flat,Clear,22,47,N,5,HAC
HWF089,2012,3616.524904,2382.877372,2225.407862,2770.710854,E,Provincial Land,Lightning,Surface,Flat,Clear,15,45,SW,40,FPD Staff
HWF089,2018,519.6646842,405.4434857,245.3465649,227.2224203,C,Provincial Land,Lightning,Crown,Flat,CB Dry,28,32,E,16,FTAC
HWF089,2019,237.1530471,110.1791985,178.318427,123.044337,C,Provincial Land,Lightning,Surface,Flat,CB Wet,17,88,S,10,HAC
HWF090,2010,260.596773,129.8930892,225.4238399,141.1583091,C,Provincial Land,Lightning,Surface,Flat,Cloudy,15,30,NE,20,HAC1F
HWF090,2015,170.2915047,58.36446612,119.9229072,68.85309125,B,Private Land,Agriculture Industry,Surface,Flat,Cloudy,15,45,N,25,Land Owner
HWF090,2017,1161.091547,507.6028567,819.5936072,573.0584743,D,Provincial Land,Incendiary,Crown,Flat,Clear,26,20,SE,9,HAC
HWF090,2019,286.7832448,114.6957984,210.0930182,38.38297333,C,Provincial Land,Lightning,Surface,Flat,Rainshowers,21,70,NW,10,HAC
HWF090,2024,110.6263416,49.55067197,81.07006596,51.44507583,B,Provincial Land,Lightning,Surface,Flat,Cloudy,20.6,52,NW,10,HAC
HWF091,2010,262.3425915,140.5427435,185.0064048,98.47328948,C,Provincial Land,Lightning,Surface,Flat,CB Wet,24,35,S,17,HAC1H
HWF091,2013,6892.430316,153.2366649,2519.879608,6395.907233,E,Provincial Land,Lightning,Crown,Flat,Clear,25,40,W,15,HAC1H
HWF091,2023,67.27884035,34.262642,57.06300794,31.8203799,B,Provincial Land,Lightning,Surface,Flat,Clear,26,29,NE,15,HAC
HWF092,2010,257.3528764,76.67854837,76.77173925,72.51366263,B,Provincial Land,Lightning,Surface,Flat,Cloudy,23,45,SW,10,HAC1F
HWF092,2012,73.1328593,37.67359636,57.07602131,32.38170637,B,Indian Reservation,Recreation,Surface,Flat,Clear,15,20,CLM,0,HAC
HWF092,2023,86.43716577,60.62529774,64.0402729,54.62254293,B,Provincial Land,Lightning,Surface,Flat,Clear,25,25,CLM,0,HAC
HWF093,2008,267.0747808,90.74963942,202.936626,83.26712173,C,Provincial Land,Lightning,Surface,Flat,Cloudy,20,55,E,15,Air Tanker
HWF093,2012,283.6330749,84.10444716,238.3631385,89.93947979,C,Indian Reservation,Recreation,Surface,Flat,Clear,7,40,E,5,FPD Staff
HWF093,2013,282.0406617,134.7590605,231.0358812,137.0324737,C,Provincial Land,Lightning,Surface,Flat,Cloudy,25,50,SE,5,HAC1H
HWF093,2016,180.6558139,45.22855805,145.9864634,55.35405708,B,Provincial Land,Lightning,Surface,Flat,Clear,28,30,NW,2,HAC
HWF093,2017,,56.56732838,114.3763633,47.76790467,B,Provincial Land,Lightning,Surface,Flat,Clear,29,34,SW,10,HAC
HWF093,2019,130.8048312,46.76661827,100.5616056,36.960851,B,Provincial Land,Lightning,Surface,Flat,Clear,19,61,W,15,HAC
HWF094,2008,381.1043832,268.4441769,292.359734,185.2328954,C,Provincial Land,Lightning,Surface,Flat,Cloudy,25,40,SW,20,HAC1H
HWF094,2014,119.5684883,94.2452272,69.97403795,94.96101835,B,Provincial Land,Lightning,Surface,Flat,CB Dry,22,35,SW,5,Air Tanker
HWF094,2016,98.22269812,51.26481381,79.15829489,42.40806274,B,Provincial Land,Lightning,Surface,Flat,Clear,20,41,N,15,Air Tanker
HWF095,2016,1139.587917,468.8299768,723.6907122,,D,Provincial Land,Lightning,Crown,Flat,Clear,20,35,SW,10,HAC
HWF095,2024,131.9482693,69.95988593,85.27083019,77.88970048,B,Provincial Land,Lightning,Surface,Flat,Cloudy,25,30,W,20,HAC
HWF096,2010,339.8206207,80.25746707,223.3224808,121.611544,C,Provincial Land,Lightning,Surface,Flat,Cloudy,22,42,SE,7,Air Tanker
HWF096,2013,246.3264037,81.38819879,175.8270086,66.36962101,C,Provincial Land,Lightning,Surface,Flat,Clear,23,40,SE,15,HAC1H
HWF096,2014,471.4613326,55.17960874,288.6965828,106.1113517,C,Provincial Land,Lightning,Surface,Flat,Clear,27,32,W,8,Air Tanker
HWF096,2019,204.0361187,101.5760046,153.5119228,100.8077899,C,Provincial Land,Lightning,Surface,Flat,Cloudy,21,56,NE,6,HAC
HWF097,2013,127.5172123,33.7935331,91.58606126,40.46721708,B,Provincial Land,Lightning,Surface,Flat,Cloudy,26,48,E,3,Air Tanker
HWF097,2016,115.8062044,1.624702455,80.25351736,47.69305324,B,Provincial Land,Lightning,Surface,Bottom,Clear,24,33,NW,18,HAC
HWF097,2017,565.3941382,220.498225,421.6885006,225.4597283,D,Provincial Land,Lightning,Surface,Flat,Clear,32,30,S,10,HAC
HWF098,2009,119.7187693,50.89084499,88.96336362,88.05103981,B,Private Land,Resident,Surface,Flat,Clear,11,54,W,8,FPD Staff
HWF098,2011,112.5829076,42.10935023,107.0944498,44.86292454,B,Provincial Land,Lightning,Surface,Flat,Cloudy,18,40,N,10,HAC1H
HWF098,2013,1215.477517,662.6179696,908.1507041,608.1851295,D,Provincial Land,Lightning,Surface,Flat,Clear,19,39,S,10,HAC1H
HWF099,2013,731.1038293,375.8047279,552.7076602,268.5233831,D,Provincial Land,Lightning,Surface,Flat,Clear,19,39,S,10,HAC1H
HWF099,2017,215.1223838,74.69422308,173.9542594,76.80010501,C,Provincial Land,Lightning,Crown,Flat,Clear,31,25,SE,15,FTAC
HWF099,2024,252.5210044,58.33284494,146.439942,83.05858493,C,Provincial Land,Lightning,Surface,Flat,Clear,21,34,W,20,HAC
HWF099,2025,395.839255,81.30652301,296.747607,194.8884913,C,Provincial Land,Lightning,Surface,Flat,Clear,30,38,E,8,HAC
HWF100,2008,438.3396136,77.45539034,285.3823174,172.5355443,C,Provincial Land,Lightning,Crown,Flat,Clear,19,27,E,2,Air Tanker
HWF100,2011,143.6117725,66.89622845,119.1926186,54.28783331,B,Provincial Land,Lightning,Surface,Flat,Cloudy,20,60,SW,10,HAC1F
HWF100,2013,252.8204695,72.1161635,210.8046549,136.0897381,C,Provincial Land,Lightning,Surface,Flat,Clear,19,39,S,10,Air Tanker
HWF100,2017,99.1167442,55.25006177,81.27572671,45.91171509,B,Provincial Land,Lightning,Surface,Flat,Cloudy,28,35,SE,1,HAC
HWF100,2024,2095.505898,998.5482194,1264.97767,1123.579838,E,Provincial Land,Lightning,Ground,Flat,Clear,21,34,W,20,Air Tanker
HWF101,2013,1247.482632,453.1959208,727.1932029,499.1971308,D,Provincial Land,Lightning,Surface,Flat,Clear,19,39,S,10,Air Tanker
HWF101,2019,198.9064824,85.32841736,150.4928755,70.11180966,C,Provincial Land,Lightning,Surface,Flat,CB Dry,24,38,N,5,HAC
HWF102,2010,434.1382549,266.9036635,348.2536777,194.9302496,C,Provincial Land,Lightning,Surface,Flat,Cloudy,20,35,S,10,Air Tanker
HWF102,2012,475.483649,191.0939626,329.8847317,64.36774499,C,Provincial Land,Lightning,Surface,Flat,CB Dry,26,33,SW,10,Air Tanker
HWF102,2017,2334.154452,499.7289808,1833.406793,1342.579346,E,Provincial Land,Lightning,Crown,Flat,Clear,26,20,S,15,FTAC
HWF102,2022,428.2646329,169.6936255,244.1773265,64.08716601,C,Provincial Land,Lightning,Surface,Flat,Clear,13,40,SE,10,FPD Staff
HWF102,2024,10628.84168,5918.665332,6213.401252,5332.570114,E,Provincial Land,Lightning,Crown,Flat,Cloudy,21.4,56,SW,20,HAC
HWF103,2009,112.2046241,59.33856237,79.50543495,78.38667001,B,Indian Reservation,Incendiary,Surface,Flat,Clear,10,52,N,9,FPD Staff
HWF103,2010,679.1195864,280.1627905,653.6928384,437.636001,D,Provincial Land,Lightning,Surface,Flat,Cloudy,19,35,SE,15,FPD Staff
HWF103,2012,283.9672483,40.02961275,177.3434861,46.61071525,B,Provincial Land,Lightning,Surface,Flat,Cloudy,23,60,NW,2,Air Tanker
HWF104,2010,566.5828352,70.60348525,447.5080461,129.071902,C,Provincial Land,Lightning,Surface,Flat,Cloudy,20,35,SE,15,FPD Staff
HWF104,2012,89.71566434,53.54200579,59.15998073,60.97558927,B,Provincial Land,Lightning,Ground,Flat,Clear,26,33,SW,3,HAC1H
HWF104,2017,255.8651542,95.63003181,163.3834365,118.6722435,C,Provincial Land,Lightning,Surface,Flat,Cloudy,24,24,NE,2,HAC
HWF104,2018,554.2691195,74.71409359,473.8993434,250.7658682,C,Provincial Land,Lightning,Surface,Flat,CB Wet,17,53,SW,15,HAC
HWF105,2006,632.5350374,255.9956586,495.9618025,220.5432335,C,Provincial Land,Lightning,Crown,Flat,Clear,28,40,NE,10,HAC1R
HWF105,2012,118.3001208,56.08843836,56.35612978,17.25533287,B,Provincial Land,Lightning,Surface,Flat,CB Dry,25,38,SW,3,HAC1H
HWF105,2016,278.23157,161.650622,194.096629,126.9382637,C,Provincial Land,Lightning,Surface,Flat,Cloudy,19,60,NW,15,HAC
HWF105,2019,87.38629882,68.0876906,93.58988627,108.2973445,B,Provincial Land,Lightning,Surface,Flat,Clear,28,25,SW,10,HAC
HWF105,2022,222.1291241,32.46366232,121.7131991,40.69643401,B,Provincial Land,Recreation,Surface,Flat,Clear,16,40,W,10,FPD Staff
HWF106,2007,219.7884047,90.41357327,175.8088806,97.62504009,C,Provincial Land,Lightning,Surface,Flat,CB Wet,17,52,NW,7,HAC1H
HWF106,2016,135.2115211,40.69933734,88.24608,44.77040482,B,Provincial Land,Lightning,Surface,Flat,Rainshowers,18,80,CLM,0,HAC
HWF106,2024,360.0001717,199.0592457,309.8918043,147.2692557,C,Provincial Land,Lightning,Surface,Bottom,CB Dry,18,51,N,19,HAC
HWF107,2007,830.2560508,760.3990468,553.9213734,662.4252067,D,Provincial Land,Lightning,Crown,Flat,Cloudy,22,40,N,5,HAC1R
HWF107,2015,404.4756342,120.7023444,189.3201385,107.8165238,C,Provincial Park,Incendiary,Surface,Flat,Clear,27,31,N,6,HAC
HWF107,2022,2318.768386,154.8591044,1465.316479,573.752001,E,Provincial Land,Recreation,Surface,Middle 1/3,Cloudy,12,50,NW,25,
HWF108,2006,818.9410397,197.9723756,557.0266485,178.39568,C,Provincial Park,Lightning,Surface,Flat,CB Wet,20,60,E,15,HAC1H
HWF108,2007,489.1369409,277.4640134,453.2098143,295.0751332,D,Provincial Land,Lightning,Surface,Flat,Cloudy,22,40,NE,5,HAC1R
HWF108,2010,5686.101809,2556.568274,3783.549014,2325.184643,E,Provincial Land,Lightning,Surface,Flat,CB Wet,18,35,SE,15,FPD Staff
HWF108,2012,9881.571733,50.84952849,6198.997199,1237.501466,E,Provincial Land,Lightning,Surface,Flat,Clear,22,40,NE,5,FPD Staff
HWF108,2022,425.0085319,14.53032383,206.6807824,27.76399861,C,Provincial Land,Recreation,Surface,Flat,Clear,7,10,NW,15,FTAC
HWF108,2023,141.7774779,107.9734111,105.6991841,111.8254081,B,Provincial Land,Lightning,Surface,Middle 1/3,Clear,19.4,36,SW,5,FTAC
HWF109,2006,1411.980704,246.7355945,874.1482767,361.9103635,D,Provincial Park,Lightning,Surface,Flat,CB Wet,20,60,E,15,HAC1F
